,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
35,11.8,0.0,1.7,46.0,6.3,1014.2,1.0,20.5,0.012,0.5,0.016,0.043,91.0,62.0
36,13.3,0.0,1.8,46.0,7.0,1013.5,1.0,25.1,0.01,0.4,0.019,0.038,101.0,67.0
37,13.7,0.0,2.2,43.0,6.7,1012.4,1.0,24.4,0.008,0.4,0.021,0.039,84.0,52.0
38,14.8,0.0,2.4,41.0,6.9,1011.8,1.0,23.2,0.007,0.4,0.027,0.033,80.0,51.0
39,14.1,0.0,4.7,46.0,7.4,1011.5,1.0,18.9,0.006,0.3,0.033,0.028,64.0,43.0
40,13.5,0.0,2.9,47.0,7.2,1011.8,1.0,14.5,0.007,0.4,0.025,0.036,49.0,34.0
41,11.9,0.0,4.2,53.0,7.4,1012.3,1.0,10.3,0.012,0.5,0.007,0.054,49.0,36.0
42,10.8,0.0,3.7,56.0,7.2,1012.4,0.0,7.6,0.012,0.5,0.008,0.053,68.0,39.0
43,10.3,0.0,3.5,58.0,7.2,1012.3,0.0,6.4,0.015,0.6,0.01,0.049,63.0,42.0
44,10.2,0.0,3.3,55.0,6.8,1012.5,0.0,6.2,0.012,0.5,0.013,0.043,59.0,42.0
45,10.0,0.0,1.0,53.0,6.5,1012.4,0.0,5.6,0.008,0.5,0.011,0.044,56.0,43.0
46,9.4,0.0,1.9,57.0,6.7,1012.6,0.0,5.0,0.006,0.3,0.014,0.039,56.0,43.0
47,8.7,0.0,1.4,57.0,6.4,1012.3,0.0,4.0,0.005,0.3,0.021,0.03,53.0,40.0
48,7.9,0.0,2.2,62.0,6.6,1012.3,0.0,3.4,0.005,0.3,0.025,0.026,43.0,35.0
49,7.2,0.0,1.6,64.0,6.5,1012.0,0.0,3.0,0.005,0.3,0.03,0.02,45.0,34.0
50,6.8,0.0,1.0,65.0,6.4,1012.3,0.0,2.7,0.004,0.3,0.037,0.014,48.0,34.0
51,6.5,0.0,2.1,66.0,6.3,1012.8,0.0,2.4,0.004,1.4,0.032,0.017,43.0,34.0
52,5.9,0.0,1.7,67.0,6.2,1013.2,0.0,2.0,0.004,0.3,0.033,0.016,52.0,38.0
53,5.4,0.0,1.6,66.0,5.9,1013.3,0.0,1.6,0.006,0.3,0.029,0.022,49.0,41.0
54,4.7,0.0,2.1,67.0,5.7,1014.0,0.0,1.1,0.005,0.4,0.014,0.038,73.0,53.0
55,4.1,0.0,3.5,67.0,5.5,1014.5,0.0,1.1,0.005,0.5,0.005,0.049,81.0,63.0
56,3.9,0.0,3.4,68.0,5.5,1014.9,0.1,1.3,0.008,0.6,0.007,0.048,73.0,55.0
57,5.0,0.0,4.1,62.0,5.4,1015.4,1.0,3.6,0.008,0.8,0.01,0.045,101.0,71.0
58,7.2,0.0,3.1,41.0,4.2,1015.8,1.0,11.9,0.012,0.5,0.015,0.042,109.0,76.0
59,9.1,0.0,3.2,41.0,4.8,1015.6,1.0,18.9,0.008,0.4,0.027,0.031,115.0,79.0
60,10.6,0.0,2.5,30.0,3.8,1015.0,1.0,23.6,0.005,0.4,0.03,0.029,90.0,63.0
61,11.2,0.0,2.9,28.0,3.7,1013.9,1.0,22.4,0.0,0.0,0.0,0.0,77.0,55.0
62,11.8,0.0,3.4,24.0,3.3,1013.5,1.0,21.0,0.0,0.0,0.0,0.0,82.0,50.0
63,13.6,0.0,1.1,22.0,3.4,1013.1,1.0,18.9,0.0,0.0,0.0,0.0,78.0,52.0
64,12.4,0.0,2.1,24.0,3.5,1013.0,1.0,13.2,0.0,0.0,0.0,0.0,71.0,43.0
65,10.7,0.0,2.7,26.0,3.3,1013.2,1.0,8.1,0.0,0.0,0.0,0.0,72.0,49.0
66,9.0,0.0,1.9,30.0,3.5,1013.5,0.0,5.2,0.01,0.7,0.003,0.063,78.0,44.0
67,8.1,0.0,3.4,34.0,3.7,1013.7,0.0,4.6,0.007,0.5,0.006,0.059,104.0,75.0
68,7.4,0.0,3.1,43.0,4.4,1013.6,0.0,3.8,0.006,0.5,0.006,0.055,89.0,58.0
69,7.0,0.0,2.8,49.0,4.9,1013.6,0.0,2.9,0.011,0.7,0.003,0.057,110.0,68.0
70,7.8,0.0,3.8,33.0,3.5,1013.4,0.0,3.7,0.008,0.6,0.003,0.054,167.0,0.0
71,7.7,0.0,4.4,35.0,3.7,1013.3,0.0,3.6,0.005,0.5,0.003,0.051,114.0,89.0
72,7.0,0.0,1.9,42.0,4.2,1013.2,0.0,2.0,0.006,0.6,0.003,0.048,100.0,82.0
73,6.7,0.0,1.9,40.0,3.9,1013.0,0.0,1.9,0.005,0.5,0.003,0.046,89.0,64.0
74,6.6,0.0,2.4,42.0,4.1,1013.3,0.0,1.9,0.005,0.6,0.003,0.046,91.0,73.0
75,6.3,0.0,2.9,39.0,3.7,1013.3,0.0,1.9,0.006,0.5,0.007,0.04,108.0,89.0
76,5.7,0.0,1.2,38.0,3.5,1013.1,0.0,0.9,0.006,0.4,0.006,0.041,102.0,79.0
77,5.5,0.0,1.8,39.0,3.5,1012.9,0.0,0.4,0.005,0.4,0.014,0.031,110.0,92.0
78,5.1,0.0,1.2,39.0,3.4,1013.1,0.0,0.2,0.005,0.5,0.009,0.039,63.0,48.0
79,5.0,0.0,0.9,37.0,3.2,1013.9,0.0,0.2,0.005,0.4,0.005,0.044,84.0,61.0
80,4.9,0.0,1.1,35.0,3.0,1014.5,0.0,0.6,0.006,0.7,0.004,0.045,71.0,48.0
81,6.0,0.0,0.8,39.0,3.6,1014.7,0.1,4.3,0.007,0.7,0.005,0.049,102.0,55.0
82,8.5,0.0,1.4,44.0,4.9,1015.2,1.0,10.7,0.006,0.6,0.01,0.05,121.0,78.0
83,9.8,0.0,3.0,44.0,5.4,1014.9,1.0,14.9,0.007,0.6,0.018,0.045,115.0,72.0
84,10.8,0.0,2.2,47.0,6.1,1014.2,1.0,19.8,0.007,0.6,0.034,0.033,131.0,88.0
85,12.5,0.0,1.3,42.0,6.1,1012.9,1.0,22.1,0.007,0.6,0.04,0.031,121.0,87.0
86,12.5,0.0,2.3,42.0,6.1,1013.0,1.0,20.8,0.007,0.6,0.038,0.036,114.0,76.0
87,12.0,0.0,3.6,43.0,6.0,1012.8,1.0,16.3,0.007,0.6,0.032,0.042,127.0,81.0
88,10.7,0.0,3.9,45.0,5.8,1013.0,0.9,12.0,0.006,0.6,0.026,0.047,116.0,86.0
89,10.0,0.0,4.9,47.0,5.8,1012.9,1.0,9.3,0.006,0.6,0.015,0.057,100.0,76.0
90,9.2,0.0,5.0,50.0,5.8,1013.5,0.0,7.3,0.006,0.8,0.015,0.056,116.0,76.0
91,8.9,0.0,5.6,49.0,5.6,1014.1,0.0,6.7,0.006,0.6,0.018,0.05,113.0,81.0
92,8.4,0.0,0.8,49.0,5.4,1014.2,0.0,4.0,0.007,0.8,0.004,0.068,108.0,78.0
93,7.8,0.0,0.0,51.0,5.4,1014.4,0.0,2.8,0.007,0.9,0.003,0.067,169.0,128.0
94,7.2,0.0,1.2,53.0,5.4,1014.7,0.0,2.3,0.005,0.9,0.003,0.061,209.0,164.0
95,7.1,0.0,2.9,48.0,4.9,1014.8,0.0,2.4,0.005,0.8,0.004,0.058,158.0,136.0
96,7.5,0.0,3.0,47.0,4.9,1014.9,0.0,3.2,0.005,0.8,0.004,0.054,121.0,88.0
97,7.3,0.0,2.4,51.0,5.2,1014.9,0.0,2.7,0.005,0.6,0.019,0.035,115.0,94.0
98,7.2,0.0,1.8,54.0,5.5,1015.2,0.0,2.6,0.005,0.5,0.024,0.028,75.0,67.0
99,7.1,0.0,2.7,57.0,5.8,1015.2,0.0,2.6,0.005,0.6,0.022,0.029,77.0,60.0
100,6.9,0.0,3.4,59.0,5.9,1015.1,0.0,2.8,0.005,0.6,0.013,0.036,69.0,57.0
101,6.9,0.0,4.7,59.0,5.9,1014.9,0.0,3.0,0.005,0.6,0.014,0.034,74.0,53.0
102,7.1,0.0,3.8,62.0,6.2,1015.5,0.0,3.7,0.005,0.7,0.006,0.045,63.0,47.0
103,6.8,0.0,2.7,63.0,6.2,1015.9,0.0,3.3,0.006,0.8,0.003,0.049,77.0,53.0
104,6.7,0.0,2.8,60.0,5.9,1016.2,0.0,3.5,0.007,0.8,0.004,0.052,117.0,80.0
105,7.5,0.0,2.9,65.0,6.7,1017.0,0.3,7.2,0.007,0.7,0.005,0.048,129.0,87.0
106,8.7,0.0,4.1,68.0,7.6,1017.5,0.0,10.5,0.007,0.4,0.019,0.033,111.0,61.0
107,10.6,0.0,4.2,63.0,8.0,1017.5,0.8,16.7,0.005,0.3,0.029,0.021,52.0,33.0
108,12.4,0.0,3.7,59.0,8.4,1017.2,1.0,21.5,0.004,0.2,0.032,0.018,33.0,17.0
109,10.6,0.0,3.6,68.0,8.7,1017.0,0.5,15.0,0.003,0.2,0.032,0.017,31.0,16.0
110,9.9,0.0,3.5,73.0,8.8,1017.0,0.0,12.4,0.003,0.2,0.03,0.018,25.0,11.0
111,8.9,0.0,3.8,77.0,8.7,1017.2,0.0,10.7,0.003,0.2,0.029,0.018,23.0,13.0
112,8.1,0.0,3.5,84.0,9.0,1017.7,0.0,8.7,0.003,0.2,0.029,0.018,17.0,11.0
113,7.8,0.0,4.2,77.0,8.1,1018.8,0.0,7.7,0.003,0.2,0.03,0.017,14.0,13.0
114,6.7,0.6,3.5,88.0,8.6,1019.1,0.0,6.7,0.003,0.2,0.026,0.02,15.0,17.0
115,6.6,0.0,3.8,85.0,8.2,1019.2,0.0,6.2,0.003,0.2,0.03,0.016,19.0,13.0
116,6.5,0.0,4.2,84.0,8.1,1019.5,0.0,6.0,0.003,0.2,0.034,0.012,14.0,14.0
117,6.5,0.1,3.5,82.0,7.9,1019.5,0.0,5.7,0.003,0.2,0.034,0.011,23.0,10.0
118,6.2,0.0,3.8,83.0,7.8,1019.4,0.0,5.5,0.003,0.2,0.034,0.011,17.0,11.0
119,6.0,0.0,4.3,83.0,7.7,1019.6,0.0,5.0,0.003,0.2,0.037,0.008,15.0,9.0
120,6.2,0.0,4.0,78.0,7.4,1019.2,0.0,5.2,0.003,0.2,0.037,0.007,15.0,12.0
121,6.0,0.0,3.1,77.0,7.2,1019.2,0.0,4.9,0.003,0.2,0.036,0.008,16.0,11.0
122,6.0,0.0,2.7,74.0,6.9,1018.9,0.0,4.6,0.004,0.2,0.037,0.007,15.0,10.0
123,5.8,0.0,3.0,71.0,6.5,1019.1,0.0,4.0,0.004,0.2,0.036,0.008,16.0,10.0
124,5.6,0.0,3.1,69.0,6.2,1018.8,0.0,3.5,0.004,0.2,0.038,0.008,17.0,9.0
125,5.5,0.0,3.2,68.0,6.1,1018.8,0.0,3.0,0.005,0.2,0.034,0.011,16.0,6.0
126,5.1,0.0,2.7,68.0,6.0,1018.8,0.0,2.3,0.005,0.2,0.031,0.015,17.0,13.0
127,5.6,0.0,3.7,65.0,5.9,1019.1,0.0,3.6,0.008,0.2,0.026,0.021,20.0,14.0
128,5.6,0.0,3.2,66.0,6.0,1019.2,0.0,3.0,0.004,0.2,0.023,0.026,27.0,10.0
129,6.5,0.0,3.1,62.0,6.0,1019.5,0.2,7.7,0.007,0.2,0.022,0.027,30.0,11.0
130,9.5,0.0,2.8,53.0,6.2,1019.4,1.0,15.6,0.004,0.2,0.03,0.018,31.0,13.0
131,11.1,0.0,3.1,50.0,6.6,1019.0,1.0,19.7,0.005,0.2,0.03,0.018,22.0,14.0
132,12.6,0.0,3.1,44.0,6.4,1018.3,1.0,23.3,0.004,0.2,0.034,0.016,26.0,12.0
133,11.3,0.0,3.4,50.0,6.7,1017.5,0.8,16.4,0.004,0.2,0.03,0.02,18.0,12.0
134,10.3,0.0,3.1,48.0,6.0,1016.8,0.2,14.6,0.006,0.2,0.029,0.021,23.0,12.0
135,10.7,0.0,3.5,51.0,6.5,1016.7,0.8,14.3,0.006,0.2,0.032,0.019,30.0,14.0
136,9.7,0.0,2.8,50.0,6.0,1017.0,0.8,10.6,0.006,0.2,0.024,0.027,23.0,17.0
137,8.9,0.0,2.3,52.0,5.9,1016.9,1.0,7.8,0.006,0.2,0.018,0.034,28.0,17.0
138,7.5,0.0,2.8,55.0,5.7,1017.1,0.0,5.8,0.006,0.3,0.013,0.038,32.0,19.0
139,6.7,0.0,2.8,58.0,5.7,1017.3,0.0,4.1,0.006,0.2,0.019,0.032,27.0,17.0
140,6.2,0.0,2.3,59.0,5.6,1017.2,0.0,3.7,0.007,0.2,0.022,0.027,25.0,19.0
141,5.9,0.0,2.8,60.0,5.6,1017.1,0.0,3.2,0.007,0.2,0.026,0.023,21.0,15.0
142,5.8,0.0,3.4,59.0,5.4,1016.6,0.0,3.8,0.006,0.3,0.013,0.036,21.0,21.0
143,5.5,0.0,2.5,62.0,5.6,1016.2,0.0,2.7,0.004,0.4,0.003,0.047,37.0,32.0
144,5.7,0.0,2.6,60.0,5.5,1015.8,0.0,3.3,0.004,0.4,0.005,0.043,42.0,24.0
145,5.7,0.0,2.6,62.0,5.7,1015.3,0.0,3.0,0.004,0.4,0.011,0.032,34.0,23.0
146,5.8,0.0,2.0,64.0,5.9,1015.4,0.0,1.8,0.004,0.3,0.016,0.028,48.0,36.0
147,5.7,0.0,1.9,64.0,5.9,1015.5,0.0,2.6,0.006,0.7,0.008,0.034,34.0,18.0
148,5.3,0.0,1.0,69.0,6.1,1014.6,0.0,1.6,0.015,0.7,0.011,0.03,75.0,57.0
149,4.9,0.0,0.3,70.0,6.1,1014.5,0.0,0.2,0.015,0.3,0.009,0.031,56.0,43.0
150,4.6,0.0,0.5,72.0,6.1,1014.7,0.0,-0.4,0.004,0.3,0.008,0.035,61.0,50.0
151,4.4,0.0,0.5,71.0,5.9,1014.6,0.0,-0.4,0.004,0.4,0.003,0.038,35.0,21.0
152,5.3,0.0,1.3,70.0,6.2,1014.2,0.2,2.1,0.004,0.5,0.004,0.038,54.0,29.0
153,7.5,0.0,0.8,63.0,6.5,1014.5,0.7,7.2,0.004,0.4,0.008,0.037,74.0,43.0
154,9.3,0.0,1.7,59.0,6.9,1014.7,0.7,11.8,0.004,0.4,0.009,0.038,60.0,26.0
155,11.0,0.0,2.2,56.0,7.3,1014.2,0.3,18.9,0.004,0.4,0.009,0.036,73.0,38.0
156,11.8,0.0,1.7,55.0,7.6,1013.2,0.7,18.2,0.004,0.4,0.01,0.037,73.0,39.0
157,12.2,0.0,1.4,54.0,7.6,1011.9,0.3,17.8,0.004,0.4,0.009,0.039,64.0,35.0
158,12.0,0.0,1.3,55.0,7.7,1010.3,0.0,16.6,0.005,0.3,0.008,0.042,66.0,28.0
159,11.4,0.0,2.5,61.0,8.2,1010.4,0.0,14.8,0.005,0.2,0.023,0.028,81.0,41.0
160,11.1,0.0,2.3,62.0,8.1,1010.2,0.0,13.0,0.004,0.2,0.018,0.032,23.0,11.0
161,10.4,0.0,1.9,65.0,8.1,1010.1,0.0,10.1,0.005,0.4,0.006,0.045,33.0,17.0
162,9.8,0.0,2.5,68.0,8.2,1010.0,0.0,9.1,0.005,0.4,0.008,0.043,57.0,25.0
163,9.6,0.0,3.3,67.0,8.0,1009.9,0.0,8.9,0.006,0.3,0.012,0.037,41.0,26.0
164,9.1,0.0,3.6,68.0,7.8,1009.9,0.0,8.5,0.006,0.3,0.006,0.042,38.0,20.0
165,9.2,0.0,3.5,69.0,8.0,1009.5,0.0,8.7,0.005,0.3,0.007,0.04,31.0,23.0
166,9.1,0.0,3.4,70.0,8.1,1009.0,0.0,8.6,0.004,0.3,0.013,0.032,33.0,22.0
167,9.5,0.0,2.8,70.0,8.2,1009.0,0.0,8.8,0.003,0.3,0.014,0.027,32.0,25.0
168,9.3,0.0,3.0,75.0,8.7,1008.8,0.0,7.9,0.003,0.3,0.015,0.024,47.0,29.0
169,8.5,0.0,3.5,83.0,9.2,1008.2,0.0,7.3,0.003,0.3,0.015,0.021,45.0,31.0
170,8.0,0.0,4.4,86.0,9.2,1007.3,0.0,7.1,0.003,0.3,0.019,0.017,40.0,33.0
171,7.9,2.9,5.0,87.0,9.2,1006.9,0.0,7.1,0.003,0.3,0.02,0.016,36.0,28.0
172,8.0,0.0,3.6,86.0,9.2,1006.5,0.0,7.0,0.003,0.3,0.017,0.019,28.0,25.0
173,7.7,0.0,3.4,87.0,9.1,1005.8,0.0,6.8,0.003,0.3,0.013,0.022,38.0,29.0
174,7.7,1.5,4.3,87.0,9.1,1005.4,0.0,6.8,0.003,0.3,0.008,0.029,37.0,31.0
175,7.5,0.0,3.4,88.0,9.1,1005.4,0.0,6.6,0.003,0.3,0.008,0.03,44.0,32.0
176,7.7,0.0,3.2,85.0,8.9,1005.2,0.0,7.3,0.003,0.3,0.008,0.03,35.0,24.0
177,8.3,0.2,3.6,85.0,9.3,1005.4,0.0,8.5,0.003,0.3,0.009,0.029,46.0,24.0
178,9.1,0.0,2.9,80.0,9.2,1005.3,0.0,10.4,0.003,0.3,0.013,0.026,51.0,30.0
179,9.8,0.0,2.9,71.0,8.5,1004.8,0.0,11.1,0.003,0.3,0.017,0.023,43.0,27.0
180,11.1,0.0,3.5,68.0,9.0,1003.6,0.1,14.2,0.003,0.3,0.023,0.019,34.0,26.0
181,11.1,0.0,3.0,67.0,8.8,1003.0,0.0,12.5,0.003,0.2,0.025,0.018,28.0,22.0
182,11.9,0.0,3.8,66.0,9.2,1002.3,0.0,15.1,0.003,0.2,0.032,0.015,31.0,20.0
183,12.0,0.0,3.8,66.0,9.2,1002.2,0.0,14.6,0.003,0.2,0.037,0.011,21.0,15.0
184,12.7,0.0,2.6,61.0,8.9,1002.1,0.9,13.8,0.003,0.2,0.036,0.013,7.0,9.0
185,11.6,0.0,1.4,66.0,9.0,1002.2,0.9,10.6,0.003,0.2,0.027,0.021,12.0,7.0
186,10.0,0.0,1.6,69.0,8.4,1002.5,0.0,7.4,0.003,0.3,0.018,0.03,20.0,16.0
187,9.3,0.0,1.0,69.0,8.0,1002.6,0.0,5.8,0.003,0.4,0.004,0.045,25.0,11.0
188,8.5,0.0,1.5,73.0,8.1,1002.9,0.0,5.7,0.004,0.5,0.004,0.045,40.0,22.0
189,8.3,0.0,1.1,74.0,8.1,1003.0,0.0,6.4,0.004,0.6,0.003,0.045,38.0,19.0
190,8.6,0.0,1.7,73.0,8.1,1002.8,0.0,7.0,0.004,0.4,0.003,0.042,40.0,23.0
191,8.8,0.0,2.3,70.0,7.9,1002.7,0.0,7.2,0.005,0.4,0.003,0.039,40.0,24.0
192,8.7,0.0,1.8,73.0,8.2,1002.5,0.0,7.4,0.006,0.5,0.003,0.04,40.0,25.0
193,8.7,0.0,1.6,72.0,8.1,1002.0,0.0,7.3,0.005,0.5,0.003,0.037,46.0,33.0
194,8.5,0.0,3.2,73.0,8.1,1002.0,0.0,7.0,0.004,0.4,0.004,0.034,38.0,30.0
195,8.0,0.0,2.1,73.0,7.8,1002.1,0.0,6.1,0.004,0.3,0.012,0.027,28.0,26.0
196,7.8,0.0,2.8,64.0,6.8,1002.3,0.0,6.4,0.005,0.2,0.023,0.018,41.0,25.0
197,7.2,0.0,3.1,64.0,6.5,1002.5,0.0,5.4,0.004,0.3,0.024,0.018,42.0,33.0
198,6.9,0.0,1.9,64.0,6.3,1002.5,0.0,4.8,0.006,1.2,0.011,0.033,38.0,29.0
199,6.5,0.0,2.8,64.0,6.2,1003.2,0.0,4.7,0.005,0.5,0.01,0.037,66.0,52.0
200,6.6,0.0,5.7,61.0,6.0,1003.9,0.0,5.4,0.005,0.5,0.016,0.036,70.0,44.0
201,6.8,0.0,6.8,56.0,5.6,1004.5,1.0,6.5,0.006,0.5,0.022,0.033,76.0,44.0
202,7.2,0.0,6.8,54.0,5.5,1005.2,0.8,10.0,0.006,0.4,0.025,0.031,73.0,49.0
203,7.6,0.0,3.8,54.0,5.6,1005.4,1.0,9.4,0.007,0.4,0.029,0.026,73.0,49.0
204,8.4,0.0,3.5,53.0,5.8,1005.3,1.0,13.9,0.006,0.4,0.033,0.023,63.0,47.0
205,9.5,0.0,3.6,47.0,5.6,1005.4,1.0,15.9,0.007,0.5,0.033,0.026,62.0,52.0
206,10.6,0.0,3.1,44.0,5.6,1004.9,1.0,16.8,0.006,0.5,0.034,0.029,75.0,56.0
207,10.9,0.0,5.1,38.0,5.0,1004.5,1.0,15.0,0.005,0.5,0.027,0.034,76.0,60.0
208,10.7,0.0,2.4,36.0,4.6,1005.3,1.0,11.4,0.005,0.4,0.026,0.034,80.0,51.0
209,9.5,0.0,2.0,38.0,4.5,1006.1,1.0,7.8,0.004,0.4,0.015,0.045,73.0,54.0
210,8.0,0.0,0.8,40.0,4.3,1007.0,0.1,4.3,0.004,0.5,0.011,0.049,65.0,47.0
211,6.9,0.0,2.4,40.0,4.0,1007.8,0.0,4.2,0.004,0.5,0.007,0.053,74.0,56.0
212,6.0,0.0,1.4,38.0,3.6,1008.4,0.0,2.5,0.004,0.5,0.007,0.051,70.0,48.0
213,5.5,0.0,2.2,43.0,3.9,1008.9,0.0,2.6,0.005,0.5,0.009,0.047,70.0,53.0
214,4.8,0.0,2.6,46.0,4.0,1009.1,0.0,2.3,0.005,0.5,0.012,0.042,71.0,56.0
215,4.7,0.0,2.9,44.0,3.8,1009.0,0.0,1.5,0.005,0.5,0.01,0.042,63.0,50.0
216,4.2,0.0,3.1,51.0,4.2,1009.0,0.0,2.0,0.005,0.5,0.018,0.03,63.0,49.0
217,3.6,0.0,3.1,55.0,4.3,1008.4,0.0,1.5,0.004,0.3,0.024,0.021,63.0,53.0
218,3.0,0.0,6.2,57.0,4.3,1008.9,0.0,1.5,0.005,0.4,0.023,0.022,48.0,38.0
219,2.6,0.0,8.5,59.0,4.3,1008.7,0.0,1.4,0.004,0.3,0.026,0.017,58.0,46.0
220,2.0,0.0,4.2,58.0,4.1,1008.8,0.0,0.6,0.004,0.4,0.019,0.023,51.0,38.0
221,1.6,0.0,2.7,60.0,4.1,1008.6,0.0,-0.1,0.004,0.6,0.016,0.026,69.0,48.0
222,1.3,0.0,2.6,59.0,4.0,1009.0,0.0,0.0,0.004,0.4,0.013,0.03,78.0,54.0
223,1.2,0.0,3.1,56.0,3.7,1009.5,0.0,-0.4,0.004,0.4,0.009,0.036,61.0,40.0
224,1.2,0.0,2.3,53.0,3.5,1010.1,0.3,-0.3,0.005,0.6,0.01,0.037,65.0,40.0
225,2.7,0.0,3.5,45.0,3.3,1010.9,1.0,2.2,0.005,0.4,0.015,0.034,72.0,42.0
226,3.9,0.0,3.5,41.0,3.3,1011.8,1.0,9.9,0.006,0.4,0.021,0.028,74.0,41.0
227,5.0,0.0,3.5,37.0,3.2,1011.9,1.0,12.4,0.005,0.3,0.025,0.024,74.0,37.0
228,5.1,0.0,5.5,38.0,3.3,1011.5,1.0,14.1,0.007,0.3,0.027,0.022,80.0,40.0
229,6.6,0.0,3.5,34.0,3.3,1010.8,1.0,16.2,0.005,0.3,0.027,0.022,57.0,32.0
230,6.8,0.0,3.4,35.0,3.5,1010.3,1.0,15.0,0.008,0.2,0.025,0.026,61.0,30.0
231,7.2,0.0,4.7,32.0,3.2,1010.7,1.0,12.8,0.008,0.2,0.024,0.028,55.0,29.0
232,7.1,0.0,2.3,31.0,3.1,1011.1,1.0,9.0,0.005,0.2,0.023,0.029,53.0,29.0
233,6.3,0.0,1.8,32.0,3.0,1011.7,1.0,5.1,0.004,0.3,0.013,0.04,48.0,22.0
