������,�����Ͻ�,���(��C),������(mm),ǳ��(m__s),����(%),�����(hPa),�������(hPa),����(hr),����(10m),����µ�(��C),SO2,CO,O3,NO2,PM10,PM25
0.0,2017010402,-1.4,0.0,0.0,84.0,4.6,993.5,0.0,435.0,-0.5,0.007,1.1,0.002,0.032,106.0,78.0
0.0,2017010403,-1.7,0.0,0.1,89.0,4.8,993.4,0.0,363.0,-0.5,0.006,0.9,0.002,0.03,92.0,64.0
0.0,2017010404,-1.5,0.0,0.5,90.0,4.9,994.1,0.0,347.0,-0.2,0.005,0.9,0.002,0.029,91.0,70.0
0.0,2017010405,-1.3,0.0,0.4,87.0,4.9,993.6,0.0,425.0,-0.1,0.005,0.8,0.002,0.027,85.0,62.0
0.0,2017010406,-0.8,0.0,0.1,87.0,5.0,993.7,0.0,437.0,0.0,0.01,1.4,0.002,0.029,78.0,64.0
0.0,2017010407,-0.3,0.0,0.3,87.0,5.2,993.6,0.0,478.0,0.0,0.007,1.1,0.002,0.028,90.0,66.0
0.000828947368421,2017010408,-0.2,0.0,0.1,87.0,5.2,993.8,0.0,488.0,-0.1,0.005,1.0,0.002,0.026,84.0,64.0
0.0515,2017010409,-0.6,0.0,0.2,90.0,5.3,994.3,0.0,373.0,-0.3,0.006,1.2,0.002,0.035,85.0,66.0
0.1681973684210526,2017010410,-0.4,0.0,0.2,89.0,5.3,994.9,0.0,350.0,-0.1,0.005,1.0,0.003,0.028,100.0,78.0
0.3006842105263158,2017010411,2.1,0.0,0.1,81.0,5.8,995.5,0.9,467.0,0.1,0.006,1.0,0.004,0.03,101.0,84.0
0.3299342105263158,2017010412,5.6,0.0,0.5,67.0,6.1,995.1,1.0,620.0,1.2,0.01,1.1,0.01,0.035,101.0,77.0
0.375078947368421,2017010413,7.7,0.0,1.1,59.0,6.2,994.2,1.0,558.0,5.7,0.01,1.1,0.01,0.035,101.0,77.0
0.35975,2017010414,8.4,0.0,1.3,47.0,5.2,992.9,1.0,689.0,9.3,0.01,1.1,0.01,0.035,101.0,77.0
0.2886578947368421,2017010415,8.9,0.0,1.0,44.0,5.0,992.8,1.0,769.0,9.9,0.006,0.6,0.027,0.019,93.0,62.0
0.113828947368421,2017010416,9.3,0.0,1.3,43.0,5.0,992.5,1.0,837.0,8.0,0.006,0.6,0.029,0.025,81.0,56.0
0.0184736842105263,2017010417,8.9,0.0,1.9,46.0,5.2,992.8,1.0,812.0,5.8,0.007,0.6,0.026,0.031,82.0,56.0
0.0,2017010418,7.9,0.0,1.5,52.0,5.6,993.3,0.6,723.0,3.8,0.015,1.4,0.006,0.062,86.0,53.0
0.0,2017010419,5.3,0.0,1.1,63.0,5.6,993.5,0.0,592.0,1.9,0.012,1.3,0.003,0.059,94.0,63.0
0.0,2017010420,3.7,0.0,0.2,72.0,5.8,994.5,0.0,543.0,0.6,0.009,1.3,0.004,0.054,86.0,58.0
0.0,2017010421,1.6,0.0,0.6,81.0,5.6,994.7,0.0,451.0,0.8,0.011,1.9,0.002,0.055,98.0,62.0
0.0,2017010422,1.3,0.0,0.0,84.0,5.6,995.2,0.0,404.0,0.5,0.012,1.9,0.002,0.05,127.0,82.0
0.0,2017010423,0.4,0.0,0.1,88.0,5.6,995.4,0.0,342.0,0.3,0.006,1.2,0.002,0.044,113.0,76.0
0.0,2017010424,-0.4,0.0,0.3,91.0,5.4,995.7,0.0,269.0,0.1,0.005,1.2,0.002,0.038,99.0,71.0
0.0,2017010501,-1.1,0.0,0.0,93.0,5.3,995.8,0.0,223.0,-0.1,0.005,1.1,0.002,0.034,97.0,70.0
0.0,2017010502,-1.4,0.0,0.8,94.0,5.2,996.3,0.0,188.0,-0.2,0.007,1.7,0.002,0.035,98.0,65.0
0.0,2017010503,-1.7,0.0,0.0,95.0,5.1,997.0,0.0,166.0,-0.3,0.008,1.8,0.002,0.033,102.0,74.0
0.0,2017010504,-1.8,0.0,0.0,95.0,5.1,997.1,0.0,175.0,-0.4,0.006,1.3,0.002,0.027,99.0,72.0
0.0,2017010505,-2.0,0.0,0.1,95.0,5.0,997.1,0.0,163.0,-0.5,0.005,1.1,0.002,0.024,95.0,67.0
0.0,2017010506,-2.1,0.0,0.2,95.0,5.0,997.1,0.0,183.0,-0.4,0.006,1.4,0.002,0.027,90.0,64.0
0.0,2017010507,-2.6,0.0,0.3,94.0,4.8,997.1,0.0,199.0,-0.5,0.008,1.5,0.002,0.026,94.0,65.0
0.0005526315789473,2017010508,-2.5,0.0,0.0,94.0,4.8,997.7,0.0,174.0,-0.6,0.01,1.9,0.002,0.034,91.0,64.0
0.0468684210526315,2017010509,-2.3,0.0,0.5,94.0,4.9,998.2,0.0,173.0,-0.6,0.01,2.1,0.002,0.041,104.0,77.0
0.1573815789473684,2017010510,-1.6,0.0,0.2,94.0,5.1,998.7,0.0,174.0,-0.2,0.009,1.6,0.004,0.037,130.0,97.0
0.2075,2017010511,0.5,0.0,0.2,88.0,5.6,998.9,0.6,307.0,0.0,0.009,1.3,0.005,0.039,123.0,92.0
0.1931315789473684,2017010512,4.3,0.0,0.7,75.0,6.2,998.7,0.3,598.0,1.2,0.01,1.3,0.006,0.043,134.0,95.0
0.1460263157894737,2017010513,8.1,0.0,0.6,57.0,6.1,998.1,0.3,2000.0,4.8,0.009,1.1,0.008,0.042,94.0,70.0
0.1157368421052631,2017010514,8.8,0.0,2.4,54.0,6.1,997.7,0.0,2000.0,6.8,0.008,0.8,0.012,0.036,86.0,56.0
0.0928947368421052,2017010515,8.7,0.0,2.1,52.0,5.8,997.7,0.0,2000.0,7.5,0.006,0.5,0.021,0.023,60.0,34.0
0.0487894736842105,2017010516,8.6,0.0,2.0,52.0,5.8,997.8,0.0,2000.0,7.2,0.005,0.4,0.027,0.015,25.0,10.0
0.005828947368421,2017010517,8.0,0.0,1.7,54.0,5.8,998.5,0.0,2000.0,5.8,0.005,0.4,0.027,0.015,9.0,7.0
0.0,2017010518,6.9,0.0,2.1,60.0,6.0,998.7,0.0,2000.0,4.3,0.004,0.4,0.024,0.019,9.0,4.0
0.0,2017010519,6.1,0.0,4.4,62.0,5.8,999.1,0.0,2000.0,3.1,0.005,0.5,0.015,0.03,13.0,2.0
0.0,2017010520,5.6,0.0,1.3,63.0,5.7,999.9,0.0,2000.0,2.6,0.004,0.4,0.021,0.02,16.0,5.0
0.0,2017010521,5.5,0.0,1.4,64.0,5.8,1000.2,0.0,2000.0,2.4,0.004,0.4,0.021,0.018,11.0,5.0
0.0,2017010522,5.2,0.0,2.4,65.0,5.8,1000.3,0.0,2000.0,2.1,0.005,0.5,0.015,0.025,8.0,5.0
0.0,2017010523,4.9,0.0,2.1,67.0,5.8,1000.1,0.0,2000.0,1.7,0.006,0.6,0.015,0.026,11.0,5.0
0.0,2017010524,4.8,0.0,1.4,67.0,5.8,1000.5,0.0,2000.0,1.6,0.006,0.6,0.017,0.022,14.0,8.0
0.0,2017010601,4.4,0.0,1.4,69.0,5.8,1000.0,0.0,2000.0,1.5,0.006,0.6,0.016,0.023,10.0,5.0
0.0,2017010602,4.2,0.0,0.5,71.0,5.8,999.7,0.0,2000.0,0.6,0.006,0.6,0.018,0.018,10.0,7.0
0.0,2017010603,3.8,0.0,0.5,73.0,5.8,999.8,0.0,2000.0,0.9,0.005,0.6,0.019,0.015,10.0,7.0
0.0,2017010604,3.1,0.0,0.1,76.0,5.8,999.6,0.0,2000.0,0.9,0.008,1.0,0.014,0.02,10.0,8.0
0.0,2017010605,2.1,0.0,0.3,80.0,5.7,999.6,0.0,2000.0,0.7,0.015,1.7,0.006,0.027,14.0,8.0
0.0,2017010606,1.7,0.0,0.0,83.0,5.8,999.3,0.0,2000.0,0.7,0.011,1.3,0.008,0.024,23.0,13.0
0.0,2017010607,1.1,0.0,0.0,86.0,5.7,999.2,0.0,2000.0,0.6,0.014,1.7,0.002,0.033,22.0,18.0
0.0019736842105263,2017010608,1.1,0.0,0.0,88.0,5.8,999.5,0.0,2000.0,0.4,0.015,1.7,0.002,0.038,34.0,22.0
0.0560131578947368,2017010609,0.3,0.0,0.5,91.0,5.7,999.6,0.0,1997.0,0.4,0.016,1.7,0.002,0.04,39.0,28.0
0.2157631578947368,2017010610,1.2,0.0,0.4,87.0,5.8,1000.0,0.5,1958.0,0.8,0.011,1.2,0.004,0.04,43.0,28.0
0.3641710526315789,2017010611,3.8,0.0,0.6,74.0,5.9,1000.1,0.5,2000.0,2.1,0.007,0.7,0.009,0.034,47.0,38.0
0.4199736842105263,2017010612,6.3,0.0,0.6,60.0,5.7,999.5,1.0,2000.0,5.3,0.006,0.5,0.017,0.024,37.0,29.0
0.4659078947368421,2017010613,6.5,0.0,1.1,57.0,5.5,998.3,1.0,2000.0,8.7,0.005,0.5,0.02,0.022,26.0,13.0
0.3559210526315789,2017010614,8.6,0.0,1.0,48.0,5.4,997.1,1.0,2000.0,11.8,0.005,0.4,0.022,0.022,24.0,11.0
0.2849473684210526,2017010615,8.4,0.0,1.9,48.0,5.3,996.1,1.0,2000.0,11.4,0.004,0.3,0.026,0.017,22.0,9.0
0.1316842105263157,2017010616,9.0,0.0,1.1,46.0,5.3,995.7,0.9,2000.0,9.1,0.004,0.3,0.027,0.018,25.0,6.0
0.0146578947368421,2017010617,9.2,0.0,0.3,47.0,5.5,995.4,0.9,2000.0,6.4,0.004,0.3,0.026,0.021,16.0,9.0
0.0,2017010618,8.1,0.0,0.6,51.0,5.5,995.3,0.7,2000.0,4.6,0.007,0.7,0.011,0.042,20.0,11.0
0.0,2017010619,5.8,0.0,0.6,62.0,5.7,995.6,0.0,2000.0,2.6,0.011,1.1,0.003,0.051,31.0,18.0
0.0,2017010620,4.2,0.0,0.5,71.0,5.8,996.3,0.0,1602.0,1.5,0.008,0.9,0.002,0.046,56.0,34.0
0.0,2017010621,3.0,0.0,0.4,75.0,5.7,996.5,0.0,2000.0,1.3,0.009,1.1,0.002,0.042,36.0,26.0
0.0,2017010622,2.6,0.0,0.1,78.0,5.8,996.5,0.0,1998.0,1.0,0.008,1.2,0.002,0.042,36.0,29.0
0.0,2017010623,1.3,0.0,0.0,85.0,5.7,996.4,0.0,1833.0,0.6,0.007,1.1,0.002,0.04,56.0,34.0
0.0,2017010624,0.1,0.0,0.2,90.0,5.6,996.5,0.0,903.0,0.4,0.006,1.1,0.002,0.036,50.0,34.0
0.0,2017010701,-0.2,0.0,0.1,93.0,5.6,996.1,0.0,960.0,0.1,0.004,0.8,0.002,0.03,50.0,32.0
0.0,2017010702,-0.8,0.0,0.3,93.0,5.4,995.8,0.0,667.0,-0.1,0.003,0.8,0.002,0.027,43.0,32.0
0.0,2017010703,-1.0,0.0,0.3,96.0,5.5,995.6,0.0,620.0,-0.4,0.004,0.8,0.002,0.026,37.0,28.0
0.0,2017010704,-1.6,0.0,0.0,95.0,5.2,995.6,0.0,475.0,-0.6,0.005,1.1,0.002,0.025,35.0,28.0
0.0,2017010705,-2.1,0.0,0.0,96.0,5.0,995.1,0.0,236.0,-0.8,0.005,1.0,0.002,0.023,36.0,26.0
0.0,2017010706,-2.5,0.0,0.1,95.0,4.9,994.8,0.0,317.0,-0.7,0.005,0.9,0.002,0.021,37.0,28.0
0.0,2017010707,-2.4,0.0,0.6,97.0,5.0,995.0,0.0,40.0,-0.5,0.006,1.0,0.002,0.022,33.0,26.0
0.0001578947368421,2017010708,-2.2,0.0,0.2,97.0,5.0,995.2,0.0,17.0,-0.3,0.005,1.1,0.002,0.023,41.0,29.0
0.0194210526315789,2017010709,-2.1,0.0,0.0,97.0,5.1,995.5,0.0,17.0,-0.1,0.005,1.2,0.003,0.029,48.0,38.0
0.0773815789473684,2017010710,-2.0,0.0,0.2,97.0,5.1,996.1,0.0,16.0,0.0,0.005,0.8,0.003,0.023,68.0,51.0
0.297,2017010711,-1.4,0.0,0.7,97.0,5.4,995.4,0.0,50.0,0.5,0.006,0.7,0.006,0.02,54.0,39.0
0.3913421052631579,2017010712,-0.2,0.0,0.5,98.0,5.9,994.6,0.2,302.0,2.3,0.005,0.6,0.009,0.021,58.0,39.0
0.3906578947368421,2017010713,4.2,0.0,0.6,75.0,6.2,993.6,1.0,998.0,6.7,0.005,0.5,0.012,0.024,55.0,37.0
0.3233421052631579,2017010714,7.6,0.0,1.0,57.0,6.0,991.8,1.0,1512.0,9.7,0.005,0.5,0.016,0.025,59.0,38.0
0.1934210526315789,2017010715,7.8,0.0,0.8,53.0,5.6,990.6,1.0,1379.0,10.3,0.005,0.5,0.021,0.026,59.0,42.0
0.1291315789473684,2017010716,8.7,0.0,0.4,52.0,5.8,990.2,0.9,1417.0,8.0,0.004,0.4,0.018,0.031,58.0,42.0
0.016078947368421,2017010717,9.2,0.0,0.7,50.0,5.8,990.0,0.8,1402.0,7.1,0.004,0.5,0.018,0.034,76.0,47.0
0.0,2017010718,8.4,0.0,0.0,54.0,6.0,989.9,0.3,1282.0,4.4,0.013,1.5,0.004,0.056,60.0,45.0
0.0,2017010719,5.4,0.0,1.1,69.0,6.2,989.8,0.0,1027.0,2.5,0.012,1.5,0.002,0.053,114.0,65.0
0.0,2017010720,4.2,0.0,0.5,75.0,6.2,990.3,0.0,921.0,1.5,0.011,1.6,0.002,0.048,98.0,72.0
0.0,2017010721,3.4,0.0,0.1,79.0,6.1,990.5,0.0,987.0,1.1,0.009,1.4,0.002,0.047,96.0,71.0
0.0,2017010722,2.6,0.0,0.0,83.0,6.1,990.6,0.0,833.0,1.0,0.012,1.9,0.002,0.044,120.0,76.0
0.0,2017010723,2.2,0.0,0.1,86.0,6.1,990.7,0.0,741.0,1.0,0.009,1.6,0.002,0.041,98.0,72.0
0.0,2017010724,1.9,0.0,0.2,87.0,6.1,990.9,0.0,674.0,1.0,0.008,1.4,0.002,0.037,98.0,68.0
0.0,2017010801,1.6,0.0,0.1,88.0,6.1,990.8,0.0,678.0,1.0,0.008,1.5,0.002,0.034,89.0,65.0
0.0,2017010802,2.2,0.0,0.1,87.0,6.2,990.3,0.0,759.0,1.1,0.011,2.1,0.002,0.033,84.0,67.0
0.0,2017010803,2.1,0.0,0.1,86.0,6.1,990.2,0.0,852.0,1.7,0.01,1.9,0.002,0.031,88.0,67.0
0.0,2017010804,2.0,0.0,0.0,87.0,6.1,989.8,0.0,715.0,1.7,0.007,1.2,0.002,0.027,83.0,62.0
0.0,2017010805,1.9,0.0,0.0,89.0,6.2,988.9,0.0,716.0,1.7,0.006,0.9,0.002,0.024,72.0,50.0
0.0,2017010806,1.7,0.0,0.1,89.0,6.1,988.0,0.0,661.0,1.8,0.008,1.2,0.002,0.027,57.0,47.0
0.0,2017010807,1.9,0.0,0.1,89.0,6.2,987.2,0.0,641.0,1.8,0.014,1.9,0.002,0.031,59.0,44.0
0.0008684210526315,2017010808,1.8,0.0,0.5,89.0,6.2,987.4,0.0,598.0,1.7,0.014,2.2,0.002,0.035,68.0,52.0
0.0279078947368421,2017010809,2.2,0.0,0.0,88.0,6.3,987.4,0.0,864.0,1.9,0.015,2.2,0.002,0.036,77.0,60.0
0.263407894736842,2017010810,2.7,0.0,0.0,87.0,6.4,987.5,0.0,776.0,1.9,0.013,1.9,0.004,0.038,92.0,68.0
0.2549210526315789,2017010811,5.6,0.0,0.5,73.0,6.6,987.4,0.8,1430.0,4.9,0.008,1.0,0.009,0.031,94.0,76.0
0.334907894736842,2017010812,9.1,0.0,1.0,61.0,7.0,986.6,0.7,1622.0,7.0,0.006,0.6,0.016,0.023,59.0,40.0
0.3676842105263158,2017010813,11.6,0.0,0.8,53.0,7.2,985.3,0.8,2000.0,11.2,0.004,0.3,0.03,0.011,37.0,21.0
0.1821315789473684,2017010814,13.6,0.0,1.2,48.0,7.4,984.0,1.0,2000.0,14.5,0.004,0.3,0.032,0.011,19.0,8.0
0.0789210526315789,2017010815,11.6,0.0,0.9,52.0,7.1,982.8,0.6,2000.0,11.2,0.004,0.3,0.03,0.015,10.0,6.0
0.0139078947368421,2017010816,11.5,0.0,0.5,47.0,6.3,982.5,0.1,2000.0,10.7,0.005,0.3,0.028,0.018,26.0,7.0
0.0068026315789473,2017010817,11.1,0.0,1.7,54.0,7.1,982.3,0.0,2000.0,9.0,0.005,0.4,0.025,0.022,20.0,8.0
0.0,2017010818,10.4,0.0,1.6,57.0,7.2,982.1,0.0,2000.0,7.6,0.007,0.5,0.023,0.024,20.0,15.0
0.0,2017010819,9.6,0.0,0.9,62.0,7.4,982.1,0.0,2000.0,6.9,0.009,0.8,0.01,0.042,17.0,15.0
0.0,2017010820,9.0,0.0,0.1,66.0,7.5,982.1,0.0,2000.0,6.5,0.009,0.9,0.003,0.05,25.0,19.0
0.0,2017010821,8.2,0.0,0.1,72.0,7.8,982.2,0.0,2000.0,6.1,0.009,1.0,0.002,0.047,40.0,23.0
0.0,2017010822,7.9,0.0,0.0,73.0,7.7,982.2,0.0,2000.0,5.8,0.006,0.6,0.007,0.041,36.0,26.0
0.0,2017010823,7.6,0.0,0.1,74.0,7.7,982.2,0.0,2000.0,5.5,0.006,0.7,0.002,0.05,35.0,26.0
0.0,2017010824,7.0,0.0,0.3,77.0,7.7,982.2,0.0,1775.0,5.3,0.007,0.6,0.003,0.047,39.0,23.0
