,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
16,10.1,0.0,0.3,55.0,6.8,1018.2,1.0,11.3,0.004,0.6,0.033,0.021,50.0,30.0
17,9.7,0.0,0.3,57.0,6.8,1017.6,1.0,6.5,0.004,0.8,0.017,0.039,56.0,37.0
18,8.4,0.0,1.0,64.0,7.0,1017.4,0.0,2.8,0.003,1.0,0.003,0.048,61.0,36.0
19,7.1,0.0,1.1,72.0,7.2,1017.2,0.0,1.1,0.003,0.9,0.005,0.042,65.0,38.0
20,6.0,0.0,1.1,76.0,7.1,1017.5,0.0,-0.1,0.003,0.8,0.004,0.041,56.0,34.0
21,5.0,0.0,1.2,81.0,7.1,1017.5,0.0,-0.9,0.003,0.9,0.005,0.039,51.0,38.0
22,4.5,0.0,0.9,84.0,7.1,1017.2,0.0,-1.2,0.003,0.8,0.005,0.038,53.0,40.0
23,4.4,0.0,0.4,85.0,7.1,1016.6,0.0,-1.6,0.002,0.8,0.006,0.035,53.0,37.0
24,3.2,0.0,1.6,90.0,6.9,1017.1,0.0,-2.2,0.002,0.9,0.004,0.035,51.0,38.0
25,3.3,0.0,1.0,93.0,7.2,1016.0,0.0,0.1,0.003,0.7,0.016,0.022,47.0,37.0
26,4.1,0.0,0.4,90.0,7.4,1015.4,0.0,0.8,0.003,1.0,0.004,0.038,44.0,33.0
27,3.9,0.0,1.7,91.0,7.3,1015.5,0.0,1.3,0.003,0.8,0.006,0.033,49.0,39.0
28,3.8,0.0,0.7,92.0,7.4,1015.8,0.0,1.4,0.003,0.9,0.003,0.037,55.0,45.0
29,4.0,0.0,0.5,91.0,7.4,1015.2,0.0,1.7,0.003,1.1,0.002,0.038,54.0,44.0
30,3.2,0.0,0.9,95.0,7.3,1014.8,0.0,0.5,0.003,1.3,0.002,0.036,55.0,44.0
31,2.8,0.0,0.2,97.0,7.2,1015.0,0.0,-0.2,0.003,1.4,0.002,0.035,63.0,45.0
32,3.1,0.0,0.5,95.0,7.2,1015.0,0.0,-0.4,0.004,1.5,0.003,0.035,70.0,57.0
33,4.2,0.0,0.2,92.0,7.6,1015.2,0.3,1.7,0.004,1.3,0.004,0.037,71.0,51.0
34,6.0,0.0,0.5,81.0,7.5,1015.6,1.0,7.1,0.004,1.2,0.006,0.038,75.0,54.0
35,8.0,0.0,1.0,71.0,7.6,1015.5,1.0,12.1,0.005,1.2,0.008,0.042,76.0,51.0
36,10.4,0.0,2.2,61.0,7.6,1014.8,1.0,15.4,0.003,0.9,0.011,0.044,78.0,55.0
37,11.8,0.0,1.0,61.0,8.4,1014.0,0.4,15.6,0.003,0.6,0.027,0.026,66.0,43.0
38,12.9,0.0,1.7,57.0,8.4,1013.1,1.0,16.5,0.003,0.6,0.027,0.028,48.0,30.0
39,11.8,0.0,2.5,61.0,8.4,1013.1,0.1,11.0,0.003,0.6,0.028,0.024,48.0,31.0
40,11.1,0.0,0.9,70.0,9.2,1013.9,0.0,9.1,0.003,0.6,0.024,0.028,46.0,29.0
41,10.5,0.0,1.2,77.0,9.7,1014.1,0.0,7.9,0.003,0.6,0.024,0.027,40.0,23.0
42,9.8,0.0,1.2,81.0,9.7,1014.2,0.0,5.4,0.003,0.7,0.019,0.034,40.0,28.0
43,9.0,0.0,1.0,86.0,9.8,1014.5,0.0,3.7,0.003,0.9,0.008,0.046,45.0,27.0
44,8.4,0.0,1.0,90.0,9.9,1014.8,0.0,2.6,0.003,0.9,0.008,0.046,48.0,33.0
45,7.6,0.0,1.0,91.0,9.5,1014.9,0.0,1.4,0.003,0.7,0.023,0.033,51.0,37.0
46,6.8,0.0,1.7,90.0,8.8,1015.1,0.0,0.8,0.004,0.8,0.033,0.027,54.0,41.0
47,6.7,0.0,1.6,86.0,8.4,1015.4,0.0,0.9,0.003,0.9,0.029,0.032,76.0,59.0
48,6.5,0.0,1.2,81.0,7.8,1015.1,0.0,0.4,0.003,1.1,0.016,0.039,94.0,67.0
49,5.9,0.0,0.6,83.0,7.7,1015.0,0.0,-0.8,0.003,1.2,0.017,0.035,94.0,74.0
50,5.5,0.0,1.3,79.0,7.1,1015.2,0.0,-1.0,0.003,1.4,0.016,0.037,100.0,80.0
51,5.1,0.0,0.8,82.0,7.2,1016.0,0.0,-1.5,0.004,1.3,0.024,0.028,113.0,97.0
52,4.2,0.0,0.7,85.0,7.0,1016.2,0.0,-2.4,0.003,1.3,0.017,0.032,139.0,118.0
53,3.2,0.0,0.8,85.0,6.5,1016.0,0.0,-1.2,0.003,1.3,0.005,0.043,131.0,115.0
54,2.9,0.0,1.1,84.0,6.3,1016.0,0.0,-1.4,0.004,1.2,0.006,0.046,111.0,95.0
55,2.0,0.0,1.8,86.0,6.1,1016.6,0.0,-1.9,0.004,0.9,0.024,0.026,111.0,90.0
56,2.1,0.0,1.6,84.0,6.0,1016.6,0.0,-2.3,0.004,1.0,0.019,0.033,96.0,82.0
57,3.7,0.0,0.8,75.0,6.0,1016.9,0.6,-1.2,0.004,1.0,0.029,0.021,103.0,85.0
58,5.5,0.0,0.9,64.0,5.8,1017.7,1.0,0.2,0.004,0.9,0.033,0.017,98.0,75.0
59,6.9,0.0,0.8,61.0,6.1,1017.6,1.0,9.2,0.004,0.9,0.031,0.021,90.0,66.0
60,7.7,0.0,1.9,57.0,6.0,1016.8,1.0,12.5,0.004,0.8,0.036,0.017,88.0,64.0
61,9.2,0.0,1.1,50.0,5.8,1015.6,1.0,14.7,0.003,0.8,0.034,0.02,74.0,54.0
62,9.8,0.0,1.2,43.0,5.2,1015.0,1.0,14.6,0.003,0.8,0.035,0.02,74.0,60.0
63,10.8,0.0,0.9,35.0,4.5,1014.5,1.0,14.0,0.003,0.8,0.033,0.022,62.0,46.0
64,10.5,0.0,1.1,35.0,4.4,1014.4,1.0,10.9,0.003,0.7,0.028,0.028,60.0,40.0
65,9.9,0.0,0.5,38.0,4.6,1014.4,1.0,5.4,0.003,0.8,0.021,0.037,49.0,34.0
66,8.2,0.0,0.7,51.0,5.6,1014.6,0.1,1.9,0.003,1.1,0.004,0.053,63.0,38.0
67,6.2,0.0,1.3,69.0,6.5,1015.2,0.0,0.3,0.003,1.1,0.003,0.051,72.0,41.0
68,5.6,0.0,0.9,69.0,6.2,1015.3,0.0,-0.8,0.003,1.1,0.002,0.047,72.0,43.0
69,4.4,0.0,1.4,76.0,6.3,1015.5,0.0,-1.7,0.003,1.2,0.002,0.044,67.0,45.0
70,4.4,0.0,0.8,76.0,6.3,1015.6,0.0,-2.3,0.003,1.1,0.003,0.041,69.0,43.0
71,3.5,0.0,1.1,83.0,6.5,1016.2,0.0,-1.2,0.003,1.2,0.002,0.041,68.0,48.0
72,2.8,0.0,0.4,86.0,6.4,1016.1,0.0,-1.4,0.003,1.1,0.002,0.037,66.0,46.0
73,2.2,0.0,0.1,91.0,6.5,1015.8,0.0,-2.0,0.003,1.1,0.003,0.034,60.0,43.0
74,1.4,0.0,0.1,93.0,6.2,1015.6,0.0,-2.5,0.002,1.0,0.003,0.031,60.0,47.0
75,1.1,0.0,0.1,95.0,6.2,1015.5,0.0,-2.9,0.002,1.0,0.005,0.028,59.0,41.0
76,0.2,0.0,0.6,94.0,5.8,1015.7,0.0,-3.1,0.002,1.0,0.004,0.029,57.0,41.0
77,0.2,0.0,0.2,94.0,5.8,1015.5,0.0,-3.3,0.003,1.1,0.002,0.031,54.0,43.0
78,0.6,0.0,0.3,93.0,5.9,1015.5,0.0,-3.1,0.003,1.2,0.002,0.034,56.0,41.0
79,0.4,0.0,0.6,94.0,5.9,1015.3,0.0,-2.7,0.003,1.3,0.002,0.035,59.0,45.0
80,0.0,0.0,1.2,91.0,5.6,1015.7,0.0,-3.0,0.003,1.4,0.003,0.037,72.0,54.0
81,0.4,0.0,0.2,90.0,5.7,1016.0,0.1,-1.6,0.004,1.5,0.003,0.04,83.0,62.0
82,2.0,0.0,0.8,81.0,5.7,1016.7,1.0,-0.5,0.004,1.7,0.004,0.046,93.0,70.0
83,4.7,0.0,0.4,71.0,6.1,1016.7,0.9,4.7,0.0,0.0,0.0,0.0,108.0,79.0
84,7.5,0.0,0.4,62.0,6.4,1015.7,1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0
85,9.2,0.0,0.9,58.0,6.7,1015.0,1.0,14.3,0.005,1.0,0.011,0.062,127.0,91.0
86,10.0,0.0,1.3,61.0,7.5,1014.4,1.0,13.6,0.006,0.8,0.026,0.04,116.0,81.0
87,11.6,0.0,0.9,57.0,7.7,1013.7,0.9,15.4,0.006,0.8,0.035,0.03,102.0,75.0
88,11.1,0.0,1.1,54.0,7.1,1013.5,1.0,10.9,0.006,0.8,0.036,0.03,98.0,75.0
89,10.1,0.0,0.7,56.0,6.9,1014.0,0.6,6.1,0.007,1.0,0.021,0.053,100.0,79.0
90,8.9,0.0,1.2,61.0,6.9,1014.4,0.0,2.9,0.005,1.8,0.003,0.076,120.0,88.0
91,7.3,0.0,0.1,66.0,6.7,1014.9,0.0,0.7,0.007,1.0,0.036,0.033,133.0,99.0
92,6.3,0.0,2.0,68.0,6.5,1015.0,0.0,-0.5,0.006,1.1,0.029,0.038,122.0,97.0
93,5.5,0.0,1.5,76.0,6.8,1015.2,0.0,-1.6,0.004,1.4,0.003,0.066,123.0,101.0
94,5.1,0.0,0.4,75.0,6.6,1015.5,0.0,-2.0,0.004,1.2,0.003,0.055,126.0,102.0
95,5.1,0.0,1.4,79.0,6.9,1016.2,0.0,-2.0,0.004,1.1,0.003,0.051,106.0,91.0
96,4.1,0.0,0.5,83.0,6.8,1016.3,0.0,-2.3,0.003,1.1,0.003,0.046,94.0,81.0
97,3.5,0.0,1.0,85.0,6.7,1015.8,0.0,-2.5,0.004,1.1,0.003,0.044,93.0,77.0
98,3.5,0.0,1.2,86.0,6.7,1015.5,0.0,-1.1,0.003,1.3,0.002,0.043,95.0,82.0
99,3.9,0.0,3.2,83.0,6.7,1015.6,0.0,-1.1,0.003,1.2,0.003,0.041,94.0,82.0
100,3.7,0.0,2.7,90.0,7.2,1015.5,0.0,-1.0,0.003,1.1,0.005,0.038,98.0,85.0
101,3.2,0.0,3.3,91.0,7.0,1015.2,0.0,-1.0,0.003,1.1,0.004,0.037,93.0,83.0
102,2.7,0.0,1.8,89.0,6.6,1015.2,0.0,-1.0,0.003,1.2,0.002,0.037,92.0,80.0
103,3.5,0.0,1.6,87.0,6.8,1015.3,0.0,-1.0,0.004,1.1,0.002,0.04,90.0,80.0
104,3.0,0.0,0.1,88.0,6.7,1015.6,0.0,-0.9,0.004,1.2,0.003,0.043,94.0,75.0
105,3.7,0.0,0.8,89.0,7.1,1016.7,0.0,0.7,0.004,1.4,0.003,0.047,97.0,79.0
106,5.1,0.0,1.1,79.0,6.9,1016.9,0.0,5.1,0.005,1.5,0.004,0.051,123.0,95.0
107,6.1,0.0,0.5,71.0,6.7,1017.4,0.0,7.2,0.005,1.1,0.008,0.044,132.0,105.0
108,7.6,0.0,0.6,60.0,6.2,1016.5,0.0,10.5,0.004,0.9,0.012,0.041,117.0,97.0
109,9.1,0.0,0.9,57.0,6.6,1015.8,0.0,10.9,0.004,0.9,0.015,0.038,104.0,84.0
110,9.8,0.0,0.2,55.0,6.6,1015.5,0.0,10.3,0.004,0.9,0.012,0.041,104.0,82.0
111,10.3,0.0,0.5,53.0,6.6,1015.4,0.0,9.3,0.004,0.9,0.008,0.047,96.0,75.0
112,10.4,0.0,1.1,54.0,6.8,1015.8,0.0,8.5,0.004,0.9,0.004,0.053,99.0,73.0
113,9.7,0.0,2.0,58.0,7.0,1016.2,0.0,6.6,0.004,1.1,0.003,0.056,87.0,61.0
114,9.6,0.0,2.9,56.0,6.7,1016.5,0.0,5.1,0.004,1.2,0.003,0.054,102.0,58.0
115,9.0,0.0,2.6,59.0,6.8,1016.8,0.0,4.7,0.006,1.1,0.002,0.055,68.0,38.0
116,9.0,0.0,1.1,61.0,7.0,1017.4,0.0,4.6,0.004,1.3,0.002,0.056,61.0,39.0
117,9.1,0.0,0.9,61.0,7.0,1017.3,0.0,4.5,0.004,1.1,0.002,0.054,59.0,39.0
118,8.4,0.0,2.0,67.0,7.4,1017.9,0.0,4.4,0.003,0.6,0.006,0.041,54.0,29.0
119,7.9,0.0,3.7,72.0,7.6,1017.8,0.0,4.3,0.003,0.6,0.008,0.033,34.0,24.0
120,7.3,0.0,3.6,79.0,8.0,1017.9,0.0,4.2,0.003,0.9,0.002,0.043,28.0,19.0
121,7.1,0.0,3.5,79.0,7.9,1017.7,0.0,3.8,0.003,0.8,0.002,0.04,35.0,21.0
122,6.5,0.0,2.7,85.0,8.2,1017.8,0.0,3.8,0.003,0.8,0.002,0.037,36.0,21.0
123,6.2,0.0,3.1,86.0,8.1,1017.8,0.0,3.1,0.002,0.7,0.003,0.031,28.0,17.0
124,6.1,0.0,1.4,83.0,7.8,1018.0,0.0,3.1,0.002,0.6,0.002,0.032,24.0,16.0
125,6.3,0.0,2.4,79.0,7.5,1017.6,0.0,3.1,0.003,0.7,0.002,0.029,24.0,12.0
126,6.2,0.0,2.6,78.0,7.4,1017.8,0.0,2.9,0.003,0.7,0.002,0.033,26.0,20.0
127,6.2,0.0,3.1,77.0,7.3,1018.4,0.0,2.9,0.003,0.9,0.002,0.032,18.0,17.0
128,6.1,0.0,2.3,77.0,7.2,1018.5,0.0,2.7,0.003,0.8,0.002,0.037,29.0,20.0
129,5.8,0.0,2.0,78.0,7.2,1018.7,0.0,2.4,0.003,0.9,0.005,0.037,32.0,20.0
130,7.7,0.0,1.1,67.0,7.0,1018.9,0.9,6.9,0.003,0.5,0.012,0.031,36.0,26.0
131,8.9,0.0,0.8,58.0,6.6,1018.7,0.9,12.3,0.003,0.4,0.021,0.023,33.0,13.0
132,10.5,0.0,1.4,51.0,6.4,1017.7,1.0,17.0,0.002,0.4,0.028,0.015,23.0,12.0
133,11.9,0.0,0.6,48.0,6.7,1016.6,1.0,19.6,0.002,0.4,0.029,0.016,16.0,8.0
134,12.5,0.0,1.1,46.0,6.6,1015.7,1.0,20.6,0.002,0.4,0.03,0.018,19.0,6.0
135,12.8,0.0,1.0,46.0,6.8,1015.8,1.0,19.1,0.002,0.4,0.029,0.02,26.0,9.0
136,12.9,0.0,0.8,44.0,6.5,1015.3,1.0,15.4,0.002,0.4,0.023,0.027,28.0,12.0
137,12.1,0.0,0.8,46.0,6.5,1015.1,1.0,8.1,0.002,0.5,0.015,0.037,23.0,10.0
138,10.7,0.0,0.9,52.0,6.7,1015.4,0.1,3.9,0.003,0.7,0.008,0.043,32.0,12.0
139,9.7,0.0,0.7,60.0,7.2,1016.0,0.0,2.4,0.004,0.7,0.003,0.049,35.0,15.0
140,8.6,0.0,1.8,61.0,6.8,1016.2,0.0,1.4,0.004,0.9,0.002,0.047,35.0,17.0
141,8.0,0.0,1.4,62.0,6.6,1016.1,0.0,0.7,0.003,0.8,0.002,0.042,44.0,18.0
142,7.1,0.0,0.8,67.0,6.7,1015.9,0.0,-0.3,0.004,0.8,0.004,0.04,32.0,15.0
143,6.2,0.0,1.3,71.0,6.7,1016.2,0.0,-0.7,0.004,0.8,0.005,0.037,31.0,14.0
144,5.5,0.0,0.7,74.0,6.7,1016.1,0.0,-1.6,0.003,0.8,0.004,0.034,34.0,21.0
145,5.1,0.0,0.1,76.0,6.7,1015.4,0.0,-2.2,0.003,0.7,0.005,0.031,28.0,19.0
146,4.2,0.0,1.4,83.0,6.8,1015.1,0.0,-2.5,0.003,0.7,0.003,0.032,26.0,16.0
147,3.9,0.0,1.0,83.0,6.7,1014.3,0.0,-1.5,0.003,0.7,0.007,0.025,30.0,14.0
148,3.1,0.0,0.9,89.0,6.8,1014.6,0.0,-2.0,0.004,0.8,0.005,0.027,30.0,16.0
149,2.1,0.0,1.0,92.0,6.5,1014.9,0.0,-2.3,0.004,0.8,0.002,0.03,27.0,16.0
150,2.7,0.0,0.1,91.0,6.7,1014.4,0.0,-2.2,0.004,1.0,0.002,0.032,38.0,16.0
151,2.9,0.0,0.3,88.0,6.6,1014.4,0.0,-1.6,0.004,1.0,0.002,0.033,34.0,20.0
152,2.5,0.0,0.1,89.0,6.5,1014.7,0.0,-2.2,0.004,1.0,0.003,0.032,40.0,23.0
153,3.6,0.0,0.3,86.0,6.8,1015.0,0.2,-0.7,0.005,1.1,0.003,0.038,40.0,26.0
154,5.0,0.0,0.2,76.0,6.6,1014.9,0.0,4.5,0.005,1.1,0.004,0.039,55.0,33.0
155,6.6,0.0,0.7,69.0,6.7,1014.3,0.0,8.3,0.004,0.7,0.008,0.032,61.0,40.0
156,7.6,0.0,0.6,63.0,6.5,1013.1,0.0,9.3,0.004,0.7,0.008,0.033,49.0,26.0
157,9.0,0.0,2.1,59.0,6.8,1010.8,0.0,12.2,0.003,0.5,0.016,0.025,51.0,32.0
158,9.5,0.0,0.7,58.0,6.9,1010.3,0.2,10.5,0.003,0.5,0.013,0.03,42.0,26.0
159,9.7,0.0,1.1,55.0,6.6,1009.8,0.0,10.6,0.003,0.5,0.013,0.03,42.0,28.0
160,9.8,0.0,0.5,57.0,6.9,1009.5,0.0,8.5,0.003,0.5,0.005,0.038,47.0,28.0
161,9.0,0.0,1.5,62.0,7.1,1009.1,0.0,6.5,0.003,0.6,0.004,0.041,45.0,26.0
162,8.8,0.0,1.8,61.0,6.9,1008.7,0.0,5.4,0.003,0.5,0.009,0.032,51.0,30.0
163,8.6,0.0,1.8,62.0,6.9,1008.7,0.0,4.9,0.003,0.7,0.003,0.042,47.0,31.0
164,8.7,0.0,1.2,60.0,6.7,1009.0,0.0,4.7,0.003,0.8,0.002,0.043,48.0,33.0
165,8.5,0.0,0.8,61.0,6.7,1009.0,0.0,4.4,0.003,0.9,0.002,0.042,53.0,35.0
166,8.7,0.0,1.0,60.0,6.7,1009.3,0.0,4.4,0.003,0.8,0.002,0.042,49.0,34.0
167,8.1,0.0,0.6,64.0,6.9,1008.9,0.0,4.4,0.003,0.8,0.002,0.038,45.0,32.0
168,7.7,0.0,1.9,71.0,7.4,1008.6,0.0,4.5,0.003,0.7,0.003,0.034,40.0,23.0
169,6.6,0.0,1.4,86.0,8.4,1008.4,0.0,4.4,0.002,0.7,0.003,0.033,30.0,24.0
170,5.8,0.0,2.1,96.0,8.8,1008.0,0.0,4.2,0.002,0.6,0.01,0.025,31.0,21.0
171,5.6,1.2,3.2,97.0,8.8,1007.4,0.0,3.9,0.002,0.5,0.02,0.014,27.0,24.0
172,5.9,0.0,2.6,90.0,8.3,1006.8,0.0,3.8,0.002,0.4,0.026,0.01,33.0,20.0
173,6.2,0.0,2.9,88.0,8.3,1005.9,0.0,3.9,0.002,0.5,0.02,0.017,22.0,11.0
174,6.4,0.0,2.4,88.0,8.4,1005.3,0.0,4.0,0.002,0.4,0.021,0.015,21.0,15.0
175,6.6,0.0,3.3,85.0,8.2,1005.3,0.0,3.5,0.002,0.4,0.02,0.017,21.0,14.0
176,6.7,0.0,2.3,84.0,8.2,1005.5,0.0,3.4,0.002,0.5,0.013,0.025,23.0,11.0
177,7.9,0.0,1.8,78.0,8.2,1005.7,0.1,6.1,0.003,0.7,0.005,0.032,21.0,11.0
178,9.3,0.0,1.0,70.0,8.1,1006.4,0.0,9.6,0.003,0.6,0.01,0.029,27.0,18.0
179,10.2,0.0,1.3,64.0,7.9,1006.2,0.0,12.5,0.003,0.5,0.023,0.018,28.0,18.0
180,11.3,0.0,1.4,59.0,7.8,1005.3,0.1,15.9,0.003,0.4,0.033,0.009,17.0,12.0
181,12.1,0.0,1.0,54.0,7.6,1004.2,1.0,18.1,0.002,0.4,0.034,0.011,22.0,8.0
182,13.9,0.0,1.9,53.0,8.4,1003.3,1.0,20.4,0.002,0.4,0.033,0.014,18.0,7.0
183,14.0,0.0,2.2,48.0,7.6,1003.2,1.0,19.8,0.003,0.4,0.033,0.015,22.0,10.0
184,12.7,0.0,1.8,51.0,7.5,1002.9,0.9,13.0,0.003,0.5,0.03,0.019,30.0,18.0
185,11.0,0.0,1.7,57.0,7.4,1003.2,0.0,9.5,0.003,0.5,0.027,0.021,34.0,19.0
186,9.2,0.0,1.6,64.0,7.4,1003.9,0.1,6.2,0.003,0.5,0.024,0.023,35.0,23.0
187,8.8,0.0,0.8,67.0,7.5,1004.2,0.0,5.9,0.003,0.5,0.021,0.026,47.0,34.0
188,8.2,0.0,1.6,73.0,7.9,1005.1,0.0,5.5,0.003,0.5,0.021,0.024,58.0,43.0
189,8.0,0.0,1.3,76.0,8.1,1005.4,0.0,5.4,0.003,0.6,0.018,0.025,65.0,56.0
190,7.8,0.0,1.6,80.0,8.4,1005.5,0.0,5.2,0.004,0.5,0.019,0.022,61.0,49.0
191,7.5,0.0,1.7,78.0,8.1,1005.8,0.0,4.9,0.003,0.5,0.027,0.016,45.0,36.0
192,7.3,0.0,1.3,80.0,8.1,1005.8,0.0,5.0,0.003,0.5,0.033,0.011,34.0,29.0
193,7.2,0.0,1.7,84.0,8.5,1005.7,0.0,5.0,0.002,0.6,0.036,0.009,39.0,24.0
194,6.9,0.0,2.2,82.0,8.1,1005.9,0.0,4.5,0.003,0.6,0.036,0.008,45.0,30.0
195,5.9,0.0,1.8,94.0,8.7,1006.4,0.0,4.4,0.003,0.6,0.033,0.008,43.0,35.0
196,5.5,0.0,2.0,91.0,8.2,1006.7,0.0,3.8,0.003,0.5,0.036,0.008,42.0,32.0
197,5.5,0.0,1.1,77.0,6.9,1006.7,0.0,3.1,0.003,0.5,0.037,0.01,50.0,34.0
198,5.3,0.0,2.8,77.0,6.8,1007.3,0.0,2.9,0.003,0.5,0.035,0.014,49.0,38.0
199,5.1,0.0,2.0,75.0,6.6,1007.8,0.0,2.6,0.003,0.6,0.031,0.019,47.0,38.0
200,5.0,0.0,2.0,73.0,6.3,1008.7,0.0,2.5,0.003,0.7,0.029,0.024,43.0,29.0
201,5.1,0.0,1.2,71.0,6.2,1009.3,0.0,2.7,0.004,0.8,0.026,0.028,57.0,47.0
202,5.2,0.0,1.1,82.0,7.2,1009.9,0.0,5.6,0.005,1.0,0.022,0.032,69.0,55.0
203,6.0,0.0,3.2,72.0,6.7,1010.4,0.0,5.6,0.005,0.8,0.032,0.02,87.0,65.0
204,6.8,0.0,2.4,52.0,5.2,1010.2,0.6,9.3,0.003,0.4,0.034,0.011,64.0,41.0
205,7.5,0.0,2.2,50.0,5.2,1009.4,0.7,13.5,0.003,0.4,0.035,0.011,33.0,16.0
206,8.4,0.0,1.9,48.0,5.3,1009.2,1.0,15.9,0.003,0.4,0.036,0.011,35.0,15.0
207,7.9,0.0,3.8,42.0,4.5,1008.9,1.0,13.7,0.003,0.4,0.037,0.011,35.0,13.0
208,7.5,0.0,2.1,47.0,4.9,1009.1,1.0,10.7,0.003,0.5,0.034,0.014,34.0,15.0
209,6.2,0.0,2.6,52.0,4.9,1009.7,1.0,4.0,0.003,0.5,0.032,0.017,34.0,16.0
210,4.8,0.0,1.5,60.0,5.2,1010.5,0.3,0.4,0.003,0.6,0.026,0.023,38.0,15.0
211,4.0,0.0,1.0,63.0,5.1,1011.1,0.0,-1.0,0.004,0.5,0.028,0.02,38.0,23.0
212,3.4,0.0,1.1,66.0,5.2,1011.3,0.0,-2.2,0.003,0.5,0.026,0.022,42.0,22.0
213,3.0,0.0,1.0,65.0,4.9,1011.6,0.0,-3.0,0.003,0.6,0.018,0.03,36.0,21.0
214,2.7,0.0,0.6,67.0,5.0,1012.1,0.0,-2.2,0.003,0.5,0.025,0.022,43.0,26.0
215,2.3,0.0,1.2,63.0,4.5,1012.5,0.0,-2.7,0.003,0.5,0.025,0.021,34.0,21.0
216,1.7,0.0,1.2,64.0,4.4,1012.5,0.0,-3.3,0.003,0.6,0.025,0.019,34.0,23.0
217,1.6,0.0,0.6,67.0,4.6,1012.8,0.0,-3.8,0.003,0.6,0.024,0.02,38.0,23.0
218,0.9,0.0,0.6,68.0,4.4,1012.9,0.0,-4.2,0.003,0.6,0.022,0.021,30.0,22.0
219,1.5,0.0,1.2,65.0,4.4,1013.2,0.0,-3.6,0.003,0.5,0.027,0.014,29.0,17.0
220,1.4,0.0,0.5,66.0,4.5,1013.4,0.0,-2.5,0.003,0.5,0.03,0.01,30.0,15.0
221,1.7,0.0,1.1,63.0,4.3,1013.5,0.0,-1.8,0.003,0.4,0.031,0.009,22.0,16.0
222,2.1,0.0,1.2,60.0,4.3,1013.5,0.0,-1.7,0.003,0.4,0.023,0.021,27.0,8.0
223,2.3,0.0,1.3,59.0,4.2,1013.9,0.0,-1.6,0.002,0.4,0.018,0.028,27.0,12.0
224,2.4,0.0,1.9,58.0,4.2,1014.3,0.0,-1.3,0.003,0.5,0.014,0.033,26.0,11.0
225,2.9,0.0,1.8,58.0,4.4,1014.8,0.2,-0.3,0.003,0.5,0.018,0.026,34.0,15.0
226,3.5,0.0,1.3,55.0,4.3,1015.6,0.0,3.2,0.003,0.5,0.021,0.023,35.0,13.0
227,3.6,0.0,1.4,57.0,4.5,1015.9,0.0,5.7,0.003,0.4,0.027,0.015,34.0,15.0
228,4.4,0.0,2.4,49.0,4.1,1015.3,0.8,11.8,0.003,0.4,0.032,0.011,30.0,12.0
229,5.0,0.0,2.8,47.0,4.1,1014.3,1.0,14.5,0.003,0.4,0.032,0.01,29.0,8.0
230,5.8,0.0,3.0,44.0,4.1,1013.9,1.0,16.0,0.003,0.5,0.032,0.012,27.0,16.0
231,5.8,0.0,2.5,43.0,4.0,1013.8,1.0,13.5,0.003,0.5,0.032,0.013,27.0,15.0
232,5.2,0.0,2.9,51.0,4.5,1013.9,0.7,9.7,0.002,0.5,0.03,0.013,26.0,14.0
